1,74,0.1611,0.1437,0.0061,21,0.1611,0.1288,0.0077
2,29,0.1677,0.1444,0.0078,2,0.1677,0.155,0.0078
3,20,0.1733,0.1516,0.0065,0,0.1733,0.1249,0.0049
4,19,0.1824,0.1562,0.0066,0,0.1824,0.1344,0.0052
5,12,0.1933,0.1722,0.0062,0,0.1933,0.1287,0.0211
6,8,0.1729,0.1549,0.0058,0,0.1729,0.148,0.0059
7,5,0.2161,0.1948,0.0059,0,0.2161,0.1714,0.0058
8,5,0.2047,0.1841,0.0064,0,0.2047,0.1456,0.0069
9,2,0.2245,0.199,0.0078,0,0.2245,0.1654,0.0062
10,2,0.1713,0.1527,0.0046,0,0.1713,0.1648,0.0069
11,0,0.1891,0.1719,0.0056,0,0.1891,0.2175,0.0066
12,0,0.1846,0.1654,0.0061,0,0.1846,0.2009,0.0059
13,0,0.1842,0.1564,0.0056,0,0.1842,0.201,0.0066
14,0,0.241,0.2206,0.0061,0,0.241,0.188,0.0059
15,0,0.2192,0.1993,0.007,0,0.2192,0.1576,0.0049
16,0,0.2052,0.185,0.0061,0,0.2052,0.1575,0.0045
17,0,0.2058,0.1861,0.007,0,0.2058,0.1895,0.0069
18,0,0.24,0.218,0.0063,0,0.24,0.1838,0.0065
19,0,0.2055,0.1858,0.0061,0,0.2055,0.1978,0.0172
20,0,0.2197,0.1971,0.0064,0,0.2197,0.1583,0.0048
