1,718,2.1031,1.9267,0.0549,246,2.1031,2.2575,0.0771
2,315,3.4136,3.0898,0.1325,31,3.4136,2.1622,0.0681
3,166,3.2779,3.0191,0.0841,4,3.2779,1.859,0.0539
4,104,2.1929,2.0251,0.0541,1,2.1929,1.8913,0.0547
5,56,2.9581,2.7363,0.0699,4,2.9581,2.2542,0.0596
6,42,2.8272,2.6279,0.0652,2,2.8272,1.9965,0.0545
7,24,2.2413,2.0727,0.0557,0,2.2413,2.0549,0.0556
8,9,2.451,2.282,0.0538,0,2.451,2.4544,0.0589
9,6,2.3821,2.2152,0.0546,0,2.3821,2.2511,0.0542
10,3,2.9344,2.7485,0.0615,0,2.9344,2.2933,0.0535
11,3,3.5525,3.3063,0.08,0,3.5525,3.382,0.0981
12,3,3.1662,2.9438,0.0721,0,3.1662,2.2805,0.0544
13,1,3.0169,2.8188,0.0621,0,3.0169,2.4945,0.0543
14,1,2.6114,2.4277,0.0595,0,2.6114,2.3491,0.0538
15,1,4.1387,3.809,0.0869,0,4.1387,2.6279,0.0564
16,1,3.2963,3.0533,0.0877,0,3.2963,2.7825,0.0624
17,1,3.0469,2.8321,0.075,0,3.0469,3.6438,0.0877
18,1,3.9876,3.6931,0.09,0,3.9876,2.4857,0.0566
19,1,3.4698,3.174,0.0677,0,3.4698,2.7874,0.0607
20,1,2.9702,2.7779,0.0623,0,2.9702,2.5292,0.0609
